DateTime,Zone,Value_Watts,Isolation_Forest_Score,Isolation_Forest_Flag,Zscore_1h,Zscore_24h,Statistical_Flag,MAD_Zscore,MAD_Flag,Deviation_vs_Yesterday_Watts,Anomaly_Severity,Raw_MAD_Zscore,Raw_Anomaly_Flag,Signals_Agreeing,Severity_Level,Is_Anomaly,Raw_Value_Watts,Changed_By_Preprocessing,Suppressed_Amount_Watts,Eligible_For_Scoring
2017-01-01 00:00:00,Zone_3,20240.96386,,False,,,False,,False,,,,False,0,Normal,False,20240.96386,False,0.0,False
2017-01-01 00:10:00,Zone_3,20131.08434,,False,,,False,,False,,,,False,0,Normal,False,20131.08434,False,0.0,False
2017-01-01 00:20:00,Zone_3,19668.43373,,False,-4.094690264901087,-4.094690264901087,True,,False,,4.094690264901087,,False,1,Warning,True,19668.43373,False,0.0,False
2017-01-01 00:30:00,Zone_3,18899.27711,,False,-3.6671258222499548,-3.6671258222499548,False,,False,,3.6671258222499548,,False,0,Normal,False,18899.27711,False,0.0,False
2017-01-01 00:40:00,Zone_3,18442.40964,,False,-2.1194277857197537,-2.1194277857197537,False,,False,,2.1194277857197537,,False,0,Normal,False,18442.40964,False,0.0,False
2017-01-01 00:50:00,Zone_3,18130.12048,,False,-1.7194654418077817,-1.7194654418077817,False,,False,,1.7194654418077817,,False,0,Normal,False,18130.12048,False,0.0,False
2017-01-01 01:00:00,Zone_3,17945.06024,,False,-1.4681144799598116,-1.4681144799598116,False,,False,,1.4681144799598116,,False,0,Normal,False,17945.06024,False,0.0,False
2017-01-01 01:10:00,Zone_3,17459.27711,,False,-1.614451630258967,-1.688732432950379,False,,False,,1.688732432950379,,False,0,Normal,False,17459.27711,False,0.0,False
2017-01-01 01:20:00,Zone_3,17025.54217,,False,-1.7991556338921038,-1.7552879825329302,False,,False,,1.7991556338921038,,False,0,Normal,False,17025.54217,False,0.0,False
2017-01-01 01:30:00,Zone_3,16794.21687,,False,-1.7672801538735536,-1.6142466477002924,False,,False,,1.7672801538735536,,False,0,Normal,False,16794.21687,False,0.0,False
2017-01-01 01:40:00,Zone_3,16638.07229,,False,-1.5339787821300408,-1.4810654448019462,False,,False,,1.5339787821300408,,False,0,Normal,False,16638.07229,False,0.0,False
